name,website,elevator_pitch,description,technology_description,mit_connection,contact,founded,employees,technology,industry,capital_raised,keywords,profile_url,scraped_at
ADAPPT INTELLIGENCE Edit,http://www.adappt.com,"Adappt Intelligence is an Internet-of-Things solution to analyze, manage, and optimize open office spaces. We believe that the way people work has changed and that spaces, and the way we manage spaces, must change with it. Our current products are desk booking and sensing (measuring occupancy, temperature, humidity, and noise levels) and conference room booking and sensing (people counting).","At Adappt Intelligence, we believe that spaces should enhance employee experience and productivity, not detract from it. We believe that the disparate systems in a building today should work seamlessly together to create those spaces. In doing so, we enable our customers to focus on their core business, empowering them to do their best work. We think of adappt as the central nervous system or the heart of an office building, keeping a space active and alive around the people who occupy it. We provide software and hardware to optimize spaces. We collect and analyze various types of data and send feedback to the relevant control systems. As a result, we are able to supply a variety of modules including desk booking and sensing and conference room booking and sensing. Adappt Intelligence acts as a bridge between people and the space they occupy. Adappt systems are constantly learning and improving the experience of the people within that space while providing significant cost savings to your company. The way Adappt works has changed. Workplaces lack the necessary tools to adapt. The gap between infrastructure and its occupants is widening. Adappt believes that spaces should enhance productivity, not detract from it. Spaces should empower people to do their best work. At Adappt we are building the central nervous system of a building, keeping a space active and alive around the people who occupy it. Adappt is proud to be innovating from our Boston headquarters to our Bangalore R&D center, combining the “brainpower” of MIT, one of the most innovative institutions in the world, with “jugaad” of Bangalore, the IT/start-up hub of India.",,"MIT alumni as founder | Molly Bales, MIT Sloan MBA 2016, and Vivek Bagri, MIT Sloan Fellow 2016","400 Atlantic Ave Boston, MA 02110, Boston, Massachusetts, 02110 • SP@CE, molly@adappt.com, s@vuc.us, startupexchange-admin@mit.edu, startupexchange@mit.edu, thomas.schumann@tpw.ch, tim@atspace.ioSam, vivek@adappt.com","Jul 1, 2016",1-9,Hardware/Software Combos & Devices,Real Estate & Construction,NULL,,https://startupexchange.mit.edu/node/3803,2025-08-22T11:12:56
ADAPT AI Edit,https://getadapt.ai/,"Adapt builds tooling and infrastructure to build real-time AI apps. Realtime here refers to extremely low latency performance which is useful for cases like voice AI, AR/VR AI apps, multimodal agents, etc. We provide a client SDK and serverless deployment infrastructure to build multimodal AI pipelines for streaming data (audio/video/sensor input) quickly.","Building scalable AI applications on top of streaming input and output such as video, audio or time-series (ex: fitbit data) is extremely hard due to challenges associated with data processing, client-side support, latency, context window management, caching, chunking, etc. A new set of abstractions and infrastructure needs to be built to serve this growing need, and Adapt is making those building blocks.","Adapt provides low-latency, universal infra for realtime AI. Our product inlcudes blend of webRTC and websocket network protocols to reduce latency combined with a serverless backend to minimize development time and cost, and maximize scalability. We are also building an open-source client library that can be used to create realtime apps on multiple devices, and a one line deployment experience.",MIT alumni as founder | I graduated from bachelors in 2019 and masters in 2020 in EECS from MIT.,"No Street Listed, San Francisco, CA, 94016 • janak@getadapt.ai, startupexchange-admin@mit.edu, startupexchange@mit.edu","Apr 8, 2024",1-9,AI/ML,Technology,Under $2M,"Infrastructure, robotics, gaming",https://startupexchange.mit.edu/node/39263,2025-08-22T11:13:31
ADAVIV Edit,http://www.adaviv.com/,"Adaviv provides a cultivation productivity tool to growers of high-value crops and enables them to de-risk while improving, top and bottom lines via increased yield and quality, while also gaining labor and resource savings. The crop care software operates in greenhouses and indoor farms, providing early alerts of pests, diseases and stress and tracks plant growth for continual cultivation improvement over every crop cycle.","AdaViv is aiming to fundamentally change the way we grow crops in controlled-environments with the aid of sensing and computing technologies. We provide farmers with valuable insights on the health of their growing plants by capturing new types of high-throughput sensing data and using state-of-the-art analytics. Adaviv’s AI and vision-based sensing and software to provide frequent cultivation insights to improve the production of high-quality crops at scale. This is achieved by frequently tracking plant performance, identifying plant stress and abnormalities at the plant-level and uncovering hidden inefficiencies in the cultivation process to treat issues early with targeted and data-driven labor allocation. The goal is to provide a tool that helps cultivators build upon and execute their cultivation techniques and production to the highest degree by means of what we term a Lean Cultivation (TM) management system.","We collect and combine sensory data with the power of AI to make precision farming accessible to growers of all sizes and easily scale their expertise and plant care. We are a hardware-enabled software company that builds mobile machine vision and environmental sensing systems and fuse these data to generate accurate AI-driven insights to detect plant health and stress at scales not possible with human eyes. Multispectral optical data is combined with environmental sensing and crop information to feed our deep learning models, while our customer-facing software translates the insights into task-specific recommendations, alerts and key performance indicators to continually improve the cultivation workflow and rapidly experiment.","MIT alumni as founder | Founded in 2018 by four former MIT researchers/students (3 technical PhDs + SloanMBA), we have an excellent track record in MIT’s entrepreneurial ecosystem. Julian Alberto Ortiz - MBA 2019 MIT Sloan School of Management (Major: Management - SM (2nd yr)) - julian.ortiz@alum.mit.edu","444 Somerville Ave., Somerville, MA, 02143 • contact@adaviv.com, ian@adaviv.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","May 7, 2018",1-9,Other,Agriculture,Under $2M,,https://startupexchange.mit.edu/node/3307,2025-08-22T11:14:07
ADVANCED MICRO SPRAYS Edit,https://www.advancedmicrosprays.com/,"Imagine materials that can be fine-tuned to repel or absorb other materials, enabling stronger, more efficient, and customizable materials solutions for applications. We have developed a groundbreaking spray technique using supercritical carbon dioxide to precisely deposit multiple nanomaterials at once onto surfaces. By creating microscopic patterns, we can control material properties like durability, conductivity, adhesion at unprecedented levels. This method, called supercritical-CO2 assisted atomization, produces tiny droplets that deliver the hybrid nanomaterials to surfaces, allowing for scalable, cost-effective manufacturing of nanostructured components. Unlike traditional methods, our approach focuses on creating and combining microscopic patterns, enabling the same material to achieve diverse properties and multifunctionality for advanced, high-performance applications. This innovation enables the synergistic enhancement of multiple functionalities, paving the way for advanced composites that improve energy systems, aerospace components, and everyday products. Our method has the potential to revolutionize manufacturing, boost the economy, and create innovative solutions that enhance lives.","Currently, manufacturing multifunctional coatings with concurrently maximized properties is challenging as increasing one property often reduces another or vice versa. Existing coating technologies often require harsh conditions of temperature or electrical gradients for application. These conditions severely limit the types of nanomaterials that can be applied as the process will often destroy them or, if the nanomaterial is not charged, will simply not work. Other coating techniques cause the nanoengineered materials to agglomerate, destroying their unique nanostructure and properties. Furthermore, depositing multiple nanomaterials to achieve multiple functionalities at once is challenging as most of nanomaterials are not adaptable with one another. This new coating technology, termed Supercritical CO2 Assisted Atomization (SAA), has been demonstrated with a variety of nanomaterials such as carbon nanotubes (CNT), graphene nanoplatelets (GNP), crystalline nanocellulose (CNC), boron nitride nanotubes (BNNT), silicon (Si), and lithium iron phosphate (LFP) on different substrates such as glass, aluminum and polymer (Kapton) to achieve multifunctional nanostructured surfaces.","Supercritical Assisted Atomization is a spray process that produces thin coatings at few nanometers on a variety of substrates. The technique is based on taking a droplet from an aqueous (water) solution with suspended nanoparticles and then exploding the droplet, by the expansion of supercritical CO2 as it converts to gas. The droplets impact the surface and the nanoparticles self-assemble on the surface. The water solvent then evaporates leaving the nanoparticles from the droplet to then adhere to the substrate in a robust, patterned coating. To achieve multifunctionality, different nanoparticles are embedded in droplets by engineering the hydrophilicity/phobicity. Because nanoengineered materials with their high surface area and electrostatic charge are inherently sticky, these coatings have excellent adhesion to a wide variety of surfaces. The rate of deposition economically favors thin coatings with 10 nm precision. In comparison, thick films, measured in microns or thicker, typically use wet, slurry-based techniques.","MIT faculty as founder | A cofounder of Advanced Micro Sprays is Rudolf Schick, an MIT alumni.","amir.asadi@tamu.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jan 1, 2024",1-9,Nanotech,Materials,Under $2M,"Supercritical Spray, Nanomaterials, functional coatings, stealth, Batteries, Photovoltaics, energy storage devices, electronics, multifunctional displays.",https://startupexchange.mit.edu/node/40323,2025-08-22T11:14:11
ADVANCED POTASH TECHNOLOGY (APT) Edit,http://advancedpotash.tech/,"K is essential in nearly all processes needed to sustain plant life. Functions of K in the plant are numerous and complex, with many of them still not fully understood. At Advanced Potash Technology (APT), the vision is to supply the unserved demand of Potash fertilizers across the world with a disruptive technology, in a sustainable and environment-friendly manner, contributing to reduce undernourishment and poverty, further improving livelihood.","APT is a mining-meets-agriculture company that is aiming to deeply disrupt the ~$20bn global potassium fertilizer (potash). Whereas potash is currently produced from rare salt mines buried deep in the earth at disparate locations, APT has a cost-effective patented technology of making this nutrient available from potassium feldspars, a mineral type that makes up a sizeable percentage of the earth’s crust. Repeated experiments show double-digit yields increases given the characteristics of the product.",,"MIT-licensed technology | MIT staff as founder | CTO Brian Spatocco - Ph.D. 2015 School of Engineering (Major: Mat Sci Eng -Doc) - spatocco@alum.mit.edu Ingo Wender, founder and president of Advanced Potash Technologies (""APT""), is the provider of an MIT fellowship Philip Wender is a Co-Founder of APT and currently a Visiting Scientist at the MIT","19 Presidential Way, Suite 302, Woburn, MA, 01801 • philip.wender@advancedpotash.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Feb 7, 2021",,Other,Agriculture,,,https://startupexchange.mit.edu/node/462,2025-08-22T11:14:47
ADVANCED SILICON GROUP Edit,https://advancedsilicongroup.com/,"AASG is developing biosensors that could revolutionize protein testing & measurements. ASG’s low-cost silicon-based biosensors provide fast sensitive detection & measurement of proteins in solution. Initially targeting the detection of impurities in biopharma, ASG’s biosensors offer 10 X cost & time reduction over existing approaches & the ability to accurately measure many types of proteins in a single sample. When applied in biopharma manufacturing this will reduce costs, improve yields,","Advanced Silicon Group (ASG) is dedicated to making a positive impact on society through innovative biosensor technology. Our ASG Nanoswift™ biosensor, which is silicon-based and measures electrically rather than optically, offers a smaller form factor and is expected to be 15 times more cost-effective than traditional ELISA tests. Electrical measurements provide faster results, typically within 15 minutes, by detecting protein binding to antibodies. With a simple three-step process—expose the sensor to solution, rinse, and insert into the handheld testing system—our biosensor communicates with a computer to display protein concentrations. This silicon and electrical measurement innovation allows multiple small subsensors to be packed onto one chip, enabling a single biosensor to perform various protein tests. From advancing medical research to providing real-time health data, ASG is committed to using our expertise to create a better future for all.","ASG’s patented biosensor works by combining known approaches to sensitizing silicon to organic biological molecules with photoelectric principles to create a highly sensitive quantitative measurement technique for specific analytes in solution. The device design allows for the detection of multiple analytes in the same test, including proteins, nucleic acids, and more. Nanowires have a high surface area-to-volume ratio, making them sensitive to their environment. This allows the measurement of dilute concentrations—pico-gram/ml detection is possible.","MIT alumni as founder | Marcie Black - Founder, CEO","173 Bedford Road, Lincoln, MA, 01773 • marcie@advancedsilicongroup.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jan 2, 2015",1-9,Nanotech,Biotechnology,,,https://startupexchange.mit.edu/node/3322,2025-08-22T11:15:22
ADVANCED SONIC ALERT TECHNOLOGIES Edit,https://asat.ai/,"Pedestrian deaths are at a 30 year high. Drivers and pedestrians are more distracted than ever. A primary communication device on the roads, the car horn, hasn't improved in the last 100 years. ASAT makes a smart, automatic car horn to improve safety, communication and experiential outcomes for drivers and pedestrians.","Advanced Sonic Alert Technologies (ASAT) is reinventing the external vehicle audio for the electric and autonomous mobility future. We imagine a world where vehicle's produce audio alerts that are intelligent, contextual, and meaningful. SoundPower creates more positive safety outcomes and peace-of-mind for drivers and pedestrians through proactive alerts. Users can interact with the outside world and “speak” with greater speed, precision, and effectiveness. SoundPower also delivers customized mobility UX and unique brand identities using external electronic sound reproduction, to produce emotive, branded experiences.",ASAT's patented technology continuously monitors the holistic state of the vehicle and the environment. It identifies data patterns that indicate potentially dangerous situations and automatically emits digital sonic alerts through the car's AVAS speaker systems.,MIT alumni as founder | The 4 co-founders are all MIT alumni.,"No Street Listed, Hyannis, MA, 02601 • jesse@asat.ai, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jun 1, 2016",1-9,Hardware/Software Combos & Devices,Automotive,Under $2M,"automatic, intelligent, car horn.",https://startupexchange.mit.edu/node/34197,2025-08-22T11:15:58
"AEROSHIELD MATERIALS, INC. Edit",https://www.aeroshield.tech/,"AeroShield is here to bring the next generation of efficient windows to our buildings. We manufacture a nanoporous form of glass that is one of the most insulating materials in the world, enabling windows that are 50% more energy efficient with a payback period 5 times faster than comparable products, saving homeowners thousands of dollars.","AeroShield is developing super-insulating, transparent inserts for windows, bringing state-of-the-art thermal comfort and energy savings into buildings at an affordable price. We are working with industry partners and insulated glass manufacturers to integrate our material inside of new windows, ready to install in your home.",,"MIT student as founder | MIT alumni as founder | Technology will be licensed from the TLO. Both founders are MIT alumni (one actively pursing PhD degree, one a PhD graduate).","21 Brookline St, Unit 202, Cambridge, MA, 02139 • startupexchange-admin@mit.edu, startupexchange@mit.edu, strobach@aeroshield.tech, strobach@mit.edu","Sep 13, 2019",1-9,Consumer Focus,Manufacturing,Under $2M,,https://startupexchange.mit.edu/node/18732,2025-08-22T11:16:32
AGILE DEVICES Edit,https://www.agiledevices.com,"Agile Devices is commercializing novel coaxial catheter deflection technologies for faster, cheaper and safer interventional procedures. Our first product in development, the Angler™ microcatheter, has been designed for peripheral, coronary and neuro vascular interventions. Our patented technology seeks to improve maneuverability with an actively controlled deflectable tip, to potentially enable quicker vessel navigation and reduced guidewire and catheter exchanges. Our goals are to reduce pro","Catalia Health brings together artificial intelligence, psychology, and medicine to deliver lasting change. They create effective patient engagement and generate unique data of value to customers. The cloud-based platform delivers unique conversations to patients to help address their ongoing healthcare issues in an effective way. These messages are delivered through mobile apps, a web interface, and the uniquely engaging (and patented) interactive robotic coach. Customers are healthcare companies who are searching for effective behavior change solutions, including pharmaceutical manufacturers and distributors, home health agencies, and healthcare providers.","The Angler™ consists of an inner and outer shaft that are designed to be as thin as possible with a variable stiffness profile for optimal pushability and trackability with a minimum of 800psi burst pressure. The inner shaft has a consistent 0.021” inner diameter from the luer to the tip to maximize flow and embolic delivery. The outer diameter is 3F maximum so our device can fit into all 5F or larger catheters. The ergonomic handle was optimized to fit in the physician’s hand for single-handed use while allowing the other hand to manipulate a wire or other devices. With this intuitive design, the physician can easily deflect the tip in both directions while staying focused on the fluoroscopy screen. The 1.5cm tip is designed to deflect bi-directionally up to 180 degrees. The distal and proximal marker bands allow physicians to see the deflection of the entire tip under fluoroscopy.",MIT alumni as founder | I am a MIT alumnus and we have an MIT alumnus on our board of directors (Patrick Rivelli).,"ben@agiledevices.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","May 28, 2013",1-9,Hardware,Health Care,$2-10M,"Medical Device, Radiology, interventional, minimally-invasive, vascular, catheter, microcatheter, deflection, catheterization, embolization, stroke, aneurysm.",https://startupexchange.mit.edu/node/33622,2025-08-22T11:16:37
AGNIZA INC. / PYROLITE LABS Edit,http://www.pyrolitelabs.com,Agniza Inc. has developed an innovative new technology for fighting fires. The uniqueness of this technology is that it uses no liquids and no chemicals. This technology can control and contain the spreading of wildland fires in hours instead of days or weeks.,"The Subcommittee on Disaster Reduction (SDR) is a Federal interagency body of the U.S. National Science and Technology Council under the Committee on Environment, Natural Resources and Sustainability. Chartered in 1988, the SDR provides a unique Federal forum for information sharing; development of collaborative opportunities; formulation of science- and technology-based guidance for policy makers; and dialogue with the U.S. policy community to advance informed strategies for managing disaster risks. Under its mandate, the SDR advises the White House Office of Science and Technology Policy (OSTP) and others about relevant risk reduction resources and the related work of SDR Member Agencies. Mitigating natural and technological disasters requires a solid understanding of science and technology, rapid implementation of research information into disaster reduction programs and applications, and efficient access to diverse information from both public and private entities.",,"MIT alumni as founder | Dr. Mohan Venkataramana = MIT PhD Chemical Engineering, Francis Yee","100 Memorial Drive, Cambridge, Massachusetts, 02142 • francis@agniza.com, info@agniza.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Mar 4, 2016",1-9,Energy Tech,Technology,NULL,,https://startupexchange.mit.edu/node/2722,2025-08-22T11:17:11
AGROBOTZ Edit,https://agrobotz.com/,"Our offering is an agricultural Unmanned Aerial Vehicle for aerial application of pesticides, and biologicals defensives which represent 2.7-billion-dollar market in the US and Latin America. The solution is robotic with superior autonomy, range and payload capacity to replace part of manned defensives applications from the ground and from air. Our platform seamlessly integrates aerial applications with automated flight planning based on data analytics performed on the farm and provide scale e",Agrobotz is a robotics company that develops autonomous aerial and ground vehicles. Current focus is on addressing the problem of high labor costs at agricultural operations.,"Our technology involves a highly efficient lifting body / flying wing design that is product of over 4 years of computational aerodynamics, stability and control modeling work. The avionics and flight control equipment deliver fully autonomous, precise flight and spraying operations, and safe VTOL and STOVL capabilities. Beyond the UAV design, we have evolved proprietary algorithms to automate and optimize flight paths for efficient, precise and timely spraying application planning using farm environmental data and surveillance images. Current platform relies on passive collision avoidance based on tweaks of optimal flight paths that avoid objects detected with photogrammetry within the flight and spraying planning software. The final system will integrate on-board video sensor equipment and software for the UAV to actively avoid obstacles during flight.","MIT alumni as founder | The co-founders are both MIT Sloan Fellows, Class of 2011","No Street Listed, Cambridge, MA, 02139 • info@agrobotz.com.br, startupexchange-admin@mit.edu, startupexchange@mit.edu","Oct 6, 2020",,Drone/UAV,Agriculture,Under $2M,"UAV, Drone, Aircraft, VTOL, STOVL, Agricultrure, Pesticides, Biological Defensives, Agricultural Spraying, Crop Dusting, Autonomous, Intelligent System",https://startupexchange.mit.edu/node/28741,2025-08-22T11:17:49
AGZEN Edit,http://www.agzen.com/,Pesticide pollution causes 20-200K deaths/year. Farmers currently spray 50x more pesticides than they need as most of what’s sprayed bounces off plant surfaces due to their natural water repellency. Our field-tested and patented technology allows us to reduce pesticide usage by 50%.,Only 2% of sprayed pesticide reaches its target due to the inherent water repellency of plant surfaces. This inefficiency forces over-spraying and results in the pollution of all parts of the environment. This leads to 200K deaths and 5M acute illnesses like cancer and neurological disorders every year. Pesticides are a $60B market globally and can contribute up to 30% of production cost for major crops. Reducing pesticide waste would save billions of dollars and hundreds of thousands of lives.,"Over seven years of research at MIT, AgZen's team has developed and patented technologies that can help farmers reduce chemical input costs while maintaining coverage, pest outcomes, crop health, and yield. Our technology portfolio consists of food-safe formulations that enhance droplet retention and computer vision systems that allow farms to measure spray coverage in real-time. These technologies come together to maximize the efficiency of pesticide application and minimize input costs. We have de-risked our products with over two years of field trials on a wide range of crops and demonstrated that our technologies could help reduce pesticide usage by 10-50%, depending on the crop.","MIT-licensed technology | MIT faculty as founder | MIT alumni as founder | Vishnu Jayaprakash - MS 19, PhD 22 (CEO and Co-Founder) Kripa Varanasi - Professor, Mechanical Engineering (Chairman of the Board and co-founder) Maher Damak - PhD 18 (Co-founder)","Greentown Labs, 444 Somerville Avenue, Somerville, MA, 02143 • startupexchange-admin@mit.edu, startupexchange@mit.edu, vishnu@agzen.com","Jul 1, 2020",1-9,Foodtech,Agriculture,$2-10M,"agrochemicals, spraying, computer vision",https://startupexchange.mit.edu/node/35792,2025-08-22T11:18:24
